"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"4","GTLM","Oliver Gavin","10","51.196","8:38.256","Green","Track","0.453","0.811","9.649","10.071","13.362","5.214","8.951","2.685","152.895"
"67","GTLM","Ryan Briscoe","10","51.273","8:38.986","Green","Track","0.462","0.823","9.518","10.094","13.429","5.265","8.970","2.712","149.916"
"24","GTLM","John Edwards","10","51.426","8:40.302","Green","Track","0.456","0.839","9.724","10.124","13.337","5.237","9.013","2.696","151.889"
"48","GTD","Corey Lewis","9","52.856","8:51.772","Green","Track","0.476","0.848","9.893","10.435","13.773","5.411","9.228","2.792","145.507"
"86","GTD","Trent Hindman","10","53.019","8:52.531","Green","Track","0.473","0.845","9.805","10.469","13.839","5.390","9.367","2.831","146.430"
"33","GTD","Ben Keating","10","52.953","8:54.632","Green","Track","0.465","0.830","9.837","10.511","13.868","5.488","9.210","2.744","148.949"
"96","GTD","Robby Foley","10","53.238","8:56.023","Green","Track","0.470","0.841","9.942","10.604","13.882","5.425","9.294","2.780","147.365"
"9","GTD","Zacharie Robichon","10","53.234","8:56.550","Green","Track","0.473","0.844","9.864","10.533","13.978","5.436","9.324","2.782","146.430"
"14","GTD","Richard Heistand","10","53.014","8:57.770","Green","Track","0.471","0.839","9.854","10.510","13.839","5.424","9.288","2.789","147.052"
"73","GTD","Marco Seefried","10","52.953","8:58.188","Green","Track","0.471","0.840","9.831","10.485","13.832","5.472","9.253","2.769","147.052"
"63","GTD","Cooper MacNeil","10","53.061","8:59.199","Green","Track","0.472","0.844","9.844","10.515","13.789","5.516","9.295","2.786","146.740"
"91","GTD","Anthony Imperato","10","53.492","9:00.588","Green","Track","0.480","0.849","9.749","10.495","13.855","5.465","9.729","2.870","144.295"
"76","GTD","Matt Plumb","10","53.193","9:01.467","Green","Track","0.473","0.844","9.864","10.460","13.971","5.411","9.363","2.807","146.430"
"57","GTD","Christina Nielsen","10","53.664","9:04.322","Green","Track","0.477","0.851","9.869","10.808","14.090","5.430","9.320","2.819","145.202"
"11","GTD","John Potter","10","53.402","9:04.760","Green","Track","0.478","0.853","9.865","10.502","14.041","5.484","9.370","2.809","144.898"
"12","GTD","Frank Montecalvo","10","53.595","9:05.339","Green","Track","0.473","0.842","9.904","10.679","14.077","5.436","9.376","2.808","146.430"
"912","GTLM","Laurens Vanthoor","11","51.229","9:25.786","Green","Track","0.458","0.835","9.654","10.180","13.291","5.197","8.916","2.698","151.226"
"911","GTLM","Nick Tandy","11","51.463","9:26.459","Green","Track","0.458","0.837","9.711","10.101","13.387","5.309","8.960","2.700","151.226"
"25","GTLM","Connor De Phillippi","11","51.292","9:27.271","Green","Track","0.453","0.817","9.726","10.104","13.286","5.328","8.901","2.677","152.895"
"66","GTLM","Dirk Mueller","11","51.169","9:27.827","Green","Track","0.460","0.820","9.589","10.108","13.424","5.231","8.835","2.702","150.568"
"3","GTLM","Antonio Garcia","11","51.329","9:29.052","Green","Track","0.453","0.810","9.749","10.117","13.349","5.190","8.967","2.694","152.895"
"4","GTLM","Oliver Gavin","11","51.251","9:29.507","Green","Track","0.454","0.812","9.721","10.137","13.381","5.152","8.913","2.681","152.558"
"67","GTLM","Ryan Briscoe","11","51.342","9:30.328","Green","Track","0.462","0.823","9.484","10.105","13.523","5.250","8.974","2.721","149.916"
"24","GTLM","John Edwards","11","51.601","9:31.903","Green","Track","0.457","0.842","9.778","10.106","13.405","5.286","9.019","2.708","151.557"
"48","GTD","Corey Lewis","10","52.652","9:44.424","Green","Track","0.474","0.846","9.777","10.428","13.702","5.357","9.279","2.789","146.121"
"86","GTD","Trent Hindman","11","52.697","9:45.228","Green","Track","0.478","0.856","9.761","10.475","13.778","5.341","9.221","2.787","144.898"
"33","GTD","Ben Keating","11","53.217","9:47.849","Green","Track","0.465","0.830","9.949","10.671","13.768","5.502","9.267","2.765","148.949"
"96","GTD","Robby Foley","11","53.228","9:49.251","Green","Track","0.471","0.842","9.908","10.582","13.761","5.416","9.433","2.815","147.052"
"9","GTD","Zacharie Robichon","11","53.042","9:49.592","Green","Track","0.473","0.845","9.874","10.461","13.827","5.453","9.322","2.787","146.430"
"14","GTD","Richard Heistand","11","53.182","9:50.952","Green","Track","0.473","0.842","9.876","10.608","13.897","5.438","9.266","2.782","146.430"
"73","GTD","Marco Seefried","11","53.282","9:51.470","Green","Track","0.470","0.840","9.891","10.683","13.876","5.459","9.291","2.772","147.365"
"63","GTD","Cooper MacNeil","11","52.995","9:52.194","Green","Track","0.472","0.843","9.865","10.435","13.821","5.495","9.279","2.785","146.740"
"91","GTD","Anthony Imperato","11","53.105","9:53.693","Green","Track","0.483","0.863","9.797","10.528","13.835","5.389","9.403","2.807","143.398"
"76","GTD","Matt Plumb","11","53.502","9:54.969","Green","Track","0.477","0.848","9.936","10.507","14.138","5.464","9.316","2.816","145.202"
